26-05-2018 11:36:45 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527327405305] User cojacasper failed to log in.
26-05-2018 11:41:02 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327662291] Logged out successfully
26-05-2018 11:41:05 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327665300] User drstevanovic logged in successfully
26-05-2018 11:41:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327668306] Signing up for an exam
26-05-2018 11:41:09 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327669313] Checking financial card
26-05-2018 11:41:14 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327674321] Logged out successfully
26-05-2018 11:41:14 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327674331] User cojacasper logged in successfully
26-05-2018 11:41:14 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327674344] Checking financial card
26-05-2018 11:41:16 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327676363] Signing up for an exam
26-05-2018 11:41:20 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327680370] Checking financial card
26-05-2018 11:41:21 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327681380] Signing up for an exam
26-05-2018 11:41:25 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327685390] Logged out successfully
26-05-2018 11:41:28 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327688398] Non-user has tried to sign up for an exam!
26-05-2018 11:41:30 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327690405] Non-user has tried to check financial card!
26-05-2018 11:41:31 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327691419] User fsavic logged in successfully
26-05-2018 11:41:31 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327691429] Checking financial card
26-05-2018 11:41:33 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327693441] User drstevanovic logged in successfully
26-05-2018 11:47:32 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328052419] User drstevanovic logged in successfully
26-05-2018 11:47:32 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328052419] Signing up for an exam
26-05-2018 11:47:37 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328057421] Checking financial card
26-05-2018 11:47:39 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328059424] Signing up for an exam
26-05-2018 11:47:40 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328060440] Logged out successfully
26-05-2018 11:47:40 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328060449] User cojacasper logged in successfully
26-05-2018 11:47:40 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328060458] Signing up for an exam
26-05-2018 11:47:41 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328061474] Checking financial card
26-05-2018 11:47:44 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328064486] Signing up for an exam
26-05-2018 11:47:46 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328066495] Logged out successfully
26-05-2018 11:47:50 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328070506] Non-user has tried to sign up for an exam!
26-05-2018 11:47:54 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328074521] User drstevanovic logged in successfully
26-05-2018 11:47:54 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328074538] Checking financial card
26-05-2018 11:48:04 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328084565] User cojacasper logged in successfully
26-05-2018 11:48:07 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328087575] Checking financial card
26-05-2018 11:48:15 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328095600] Logged out successfully
26-05-2018 11:48:17 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328097612] Non-user has tried to check financial card!
26-05-2018 11:48:19 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328099621] Non-user has tried to check financial card!
26-05-2018 11:48:22 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328102627] Non-user has tried to sign up for an exam!
26-05-2018 11:48:27 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328107635] User drstevanovic logged in successfully
26-05-2018 11:48:27 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527328107638] User cojacasper failed to log in.
26-05-2018 11:48:32 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328112645] Checking financial card
26-05-2018 11:48:34 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328114652] Signing up for an exam
26-05-2018 11:48:37 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328117657] Checking financial card
26-05-2018 11:48:42 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328122677] Logged out successfully
26-05-2018 11:48:42 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328122683] User cojacasper logged in successfully
26-05-2018 11:48:42 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328122689] Logged out successfully
26-05-2018 11:48:45 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328125706] Non-user has tried to check financial card!
26-05-2018 11:48:53 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328133724] Non-user has tried to sign up for an exam!
26-05-2018 11:48:58 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328138746] User fsavic logged in successfully
26-05-2018 11:48:58 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328138756] Checking financial card
26-05-2018 11:49:07 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328147780] Signing up for an exam
26-05-2018 11:49:08 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527328148812] User cojacasper failed to log in.
26-05-2018 11:49:11 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328151827] Signing up for an exam
26-05-2018 11:49:15 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328155832] Signing up for an exam
26-05-2018 11:49:20 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328160837] Logged out successfully
26-05-2018 11:49:20 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328160846] User fsavic logged in successfully
26-05-2018 11:49:20 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328160855] User drstevanovic logged in successfully
26-05-2018 11:49:21 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527328161864] Logged out successfully
26-05-2018 11:49:30 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328170877] Non-user has tried to check financial card!
26-05-2018 11:49:31 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328171884] Non-user has tried to check financial card!
26-05-2018 11:49:34 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328174893] Non-user has tried to check financial card!
26-05-2018 11:49:39 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527328179899] Non-user has tried to sign up for an exam!
26-05-2018 13:38:27 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334707054] User cojacasper logged in successfully
26-05-2018 13:38:27 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334707056] Checking financial card
26-05-2018 13:38:33 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334713058] Signing up for an exam
26-05-2018 13:38:36 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334716069] Logged out successfully
26-05-2018 13:38:39 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334719080] User fsavic logged in successfully
26-05-2018 13:38:40 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334720088] Checking financial card
26-05-2018 13:38:42 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334722098] User fsavic logged in successfully
26-05-2018 13:38:45 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334725105] Signing up for an exam
26-05-2018 13:38:50 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334730108] Logged out successfully
26-05-2018 13:38:50 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334730117] User fsavic logged in successfully
26-05-2018 13:38:50 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334730123] Logged out successfully
26-05-2018 13:38:54 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334734132] Non-user has tried to check financial card!
26-05-2018 13:38:55 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334735142] Non-user has tried to sign up for an exam!
26-05-2018 13:38:56 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334736156] User fsavic logged in successfully
26-05-2018 13:38:56 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334736167] Signing up for an exam
26-05-2018 13:39:00 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334740173] Signing up for an exam
26-05-2018 13:39:02 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334742179] Checking financial card
26-05-2018 13:39:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334748212] Logged out successfully
26-05-2018 13:39:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334748218] User cojacasper logged in successfully
26-05-2018 13:39:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334748226] Signing up for an exam
26-05-2018 13:39:13 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334753233] Signing up for an exam
26-05-2018 13:39:18 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334758242] Signing up for an exam
26-05-2018 13:39:23 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334763251] Logged out successfully
26-05-2018 13:39:23 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334763258] User cojacasper logged in successfully
26-05-2018 13:39:23 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334763269] Signing up for an exam
26-05-2018 13:39:25 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334765279] Logged out successfully
26-05-2018 13:39:30 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334770289] Non-user has tried to sign up for an exam!
26-05-2018 13:39:33 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334773299] User drstevanovic failed to log in.
26-05-2018 13:39:41 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334781316] Non-user has tried to check financial card!
26-05-2018 13:39:43 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334783329] User cojacasper failed to log in.
26-05-2018 13:39:43 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334783341] User drstevanovic logged in successfully
26-05-2018 13:39:45 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334785347] Logged out successfully
26-05-2018 13:39:45 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334785353] User drstevanovic logged in successfully
26-05-2018 13:39:45 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334785358] Checking financial card
26-05-2018 13:39:50 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334790376] Logged out successfully
26-05-2018 13:39:52 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334792383] Non-user has tried to check financial card!
26-05-2018 13:39:54 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334794390] User cojacasper failed to log in.
26-05-2018 13:39:56 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334796400] Non-user has tried to sign up for an exam!
26-05-2018 13:39:57 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334797408] Non-user has tried to check financial card!
26-05-2018 13:40:03 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334803413] Non-user has tried to check financial card!
26-05-2018 13:40:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334808423] User cojacasper logged in successfully
26-05-2018 13:40:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334808433] Logged out successfully
26-05-2018 13:40:10 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334810443] Non-user has tried to sign up for an exam!
26-05-2018 13:40:14 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334814452] Non-user has tried to check financial card!
26-05-2018 13:40:15 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334815459] Non-user has tried to check financial card!
26-05-2018 13:40:16 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334816475] Non-user has tried to sign up for an exam!
26-05-2018 13:40:17 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334817488] User drstevanovic logged in successfully
26-05-2018 13:40:17 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334817498] Signing up for an exam
26-05-2018 13:40:19 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334819508] Signing up for an exam
26-05-2018 13:40:24 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334824516] Checking financial card
26-05-2018 13:40:25 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334825518] Logged out successfully
26-05-2018 13:40:25 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334825531] User cojacasper failed to log in.
26-05-2018 13:40:25 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334825534] Non-user has tried to check financial card!
26-05-2018 13:42:35 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334955432] User fsavic failed to log in.
26-05-2018 13:42:35 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334955432] User cojacasper failed to log in.
26-05-2018 13:42:40 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334960435] User cojacasper logged in successfully
26-05-2018 13:42:40 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334960440] User fsavic logged in successfully
26-05-2018 13:42:45 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334965443] Signing up for an exam
26-05-2018 13:42:48 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334968450] Signing up for an exam
26-05-2018 13:42:51 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334971459] Logged out successfully
26-05-2018 13:42:53 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334973470] Non-user has tried to sign up for an exam!
26-05-2018 13:42:57 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334977485] User drstevanovic failed to log in.
26-05-2018 13:42:57 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527334977494] Non-user has tried to sign up for an exam!
26-05-2018 13:42:58 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334978504] User fsavic failed to log in.
26-05-2018 13:43:02 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334982515] User drstevanovic failed to log in.
26-05-2018 13:43:04 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334984530] User drstevanovic logged in successfully
26-05-2018 13:43:04 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527334984541] User drstevanovic failed to log in.
26-05-2018 13:43:08 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527334988553] Logged out successfully
29-06-2018 05:53:21 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244401765] User cojacasper logged in successfully
29-06-2018 05:53:21 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244401806] Logged out successfully
29-06-2018 05:53:22 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244402806] User fsavic logged in successfully
29-06-2018 05:53:27 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244407806] Logged out successfully
29-06-2018 05:53:30 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244410806] Non-user has tried to sign up for an exam!
29-06-2018 05:53:34 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244414806] Non-user has tried to check financial card!
29-06-2018 05:53:37 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244417808] Non-user has tried to sign up for an exam!
29-06-2018 05:53:40 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244420808] Non-user has tried to check financial card!
29-06-2018 05:53:43 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244423808] Non-user has tried to check financial card!
29-06-2018 06:00:32 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244832436] User drstevanovic logged in successfully
29-06-2018 06:00:32 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244832437] Signing up for an exam
29-06-2018 06:00:35 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244835438] Checking financial card
29-06-2018 06:00:38 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244838438] Signing up for an exam
29-06-2018 06:00:39 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244839438] Signing up for an exam
29-06-2018 06:00:44 	F4:4D:45:7D:36:FD 	student-service : 	WARNING - [1530244844438] User fsavic failed to log in.
29-06-2018 06:00:46 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244846438] Checking financial card
29-06-2018 06:00:49 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244849438] Logged out successfully
29-06-2018 06:00:53 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244853439] User cojacasper logged in successfully
29-06-2018 06:00:53 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244853439] Logged out successfully
29-06-2018 06:00:57 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244857440] Non-user has tried to check financial card!
29-06-2018 06:01:00 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244860441] Non-user has tried to sign up for an exam!
29-06-2018 06:01:01 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244861441] User fsavic logged in successfully
29-06-2018 06:01:06 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244866441] Signing up for an exam
29-06-2018 06:01:10 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244870442] Logged out successfully
29-06-2018 06:01:10 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244870442] User drstevanovic logged in successfully
29-06-2018 06:01:10 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244870442] Signing up for an exam
29-06-2018 06:01:13 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244873442] Signing up for an exam
29-06-2018 06:01:18 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244878442] Checking financial card
29-06-2018 06:01:19 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244879442] Signing up for an exam
29-06-2018 06:01:23 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244883442] Logged out successfully
29-06-2018 06:01:23 	F4:4D:45:7D:36:FD 	student-service : 	WARNING - [1530244883442] User fsavic failed to log in.
29-06-2018 06:01:23 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244883442] User drstevanovic logged in successfully
29-06-2018 06:01:24 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244884442] Checking financial card
29-06-2018 06:01:25 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244885442] Logged out successfully
29-06-2018 06:01:25 	F4:4D:45:7D:36:FD 	student-service : 	WARNING - [1530244885442] User drstevanovic failed to log in.
29-06-2018 06:01:25 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244885442] Non-user has tried to check financial card!
29-06-2018 06:01:29 	F4:4D:45:7D:36:FD 	student-service : 	WARNING - [1530244889443] User cojacasper failed to log in.
29-06-2018 06:01:31 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244891443] Non-user has tried to check financial card!
29-06-2018 06:01:32 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244892443] User drstevanovic logged in successfully
29-06-2018 06:01:32 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244892444] Checking financial card
29-06-2018 06:01:40 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244900444] User drstevanovic logged in successfully
29-06-2018 06:01:43 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244903444] User drstevanovic logged in successfully
29-06-2018 06:01:46 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244906445] Logged out successfully
29-06-2018 06:01:46 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244906446] User drstevanovic logged in successfully
29-06-2018 06:01:46 	F4:4D:45:7D:36:FD 	student-service : 	WARNING - [1530244906446] User fsavic failed to log in.
29-06-2018 06:01:47 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244907446] Checking financial card
29-06-2018 06:01:50 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244910446] Signing up for an exam
29-06-2018 06:01:53 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244913446] Logged out successfully
29-06-2018 06:01:53 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244913446] User fsavic logged in successfully
29-06-2018 06:01:53 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244913447] Signing up for an exam
29-06-2018 06:01:54 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244914447] Logged out successfully
29-06-2018 06:01:55 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244915447] Non-user has tried to check financial card!
29-06-2018 06:01:58 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244918447] Non-user has tried to check financial card!
29-06-2018 06:02:05 	F4:4D:45:7D:36:FD 	student-service : 	CRITICAL - [1530244925448] Non-user has tried to check financial card!
29-06-2018 06:02:09 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244929448] User cojacasper logged in successfully
29-06-2018 06:02:14 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244934448] Checking financial card
29-06-2018 06:02:23 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244943449] Logged out successfully
29-06-2018 06:02:23 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244943449] User fsavic logged in successfully
29-06-2018 06:02:23 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244943449] Signing up for an exam
29-06-2018 06:02:24 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244944449] Checking financial card
29-06-2018 06:02:29 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244949450] Signing up for an exam
29-06-2018 06:02:34 	F4:4D:45:7D:36:FD 	student-service : 	INFO - [1530244954450] Checking financial card
